basecall_method,n_reads,n_correct,n_undefined,n_single,n_single_correct
fast,1000,0,24,0,0
fast,2000,0,24,0,0
fast,3000,0,24,0,0
fast,4000,0,24,0,0
fast,5000,0,24,0,0
fast,6000,0,24,0,0
fast,7000,0,24,0,0
fast,8000,0,24,0,0
fast,9000,1,23,1,1
fast,10000,2,22,2,2
hac,1000,0,24,0,0
hac,2000,1,23,1,1
hac,3000,2,22,2,2
hac,4000,2,22,2,2
hac,5000,2,21,3,2
hac,6000,1,22,2,1
hac,7000,4,19,5,4
hac,8000,7,16,8,7
hac,9000,9,14,10,9
hac,10000,9,14,10,9
sup,1000,1,23,1,1
sup,2000,1,23,1,1
sup,3000,1,22,2,1
sup,4000,1,22,2,1
sup,5000,2,20,4,2
sup,6000,2,20,4,2
sup,7000,3,18,6,3
sup,8000,7,15,9,7
sup,9000,11,11,12,10
sup,10000,16,7,17,16
